trial,part,condition,trialKind,speed,p_model,correct
51,Part1,centred,staircase,2.0,0.625,1
52,Part1,far_displaced,staircase,1.6,0.95,1
53,Part1,near_displaced,staircase,2.1,0.463,1
54,Part1,near_displaced,staircase,2.0,0.625,1
55,Part1,near_displaced,attention_check,0.2,0.99,1
56,Part1,near_displaced,staircase,1.9,0.787,1
57,Part1,far_displaced,staircase,2.1,0.462,0
58,Part1,far_displaced,staircase,1.8,0.95,1
59,Part1,far_displaced,staircase,2.1,0.462,0
60,Part1,centred,staircase,2.2,0.3,0
61,Part1,near_displaced,staircase,2.2,0.3,0
62,Part1,centred,staircase,2.2,0.3,0
63,Part1,near_displaced,staircase,1.9,0.787,1
64,Part1,near_displaced,staircase,2.1,0.462,0
65,Part1,far_displaced,staircase,2.1,0.462,1
66,Part1,centred,attention_check,0.2,0.99,1
67,Part1,near_displaced,staircase,2.2,0.3,1
68,Part1,far_displaced,staircase,1.9,0.787,1
69,Part1,far_displaced,staircase,2.0,0.625,1
70,Part1,near_displaced,staircase,2.2,0.3,1
71,Part1,far_displaced,staircase,2.2,0.3,1
72,Part1,near_displaced,staircase,2.1,0.462,0
73,Part1,centred,staircase,1.9,0.787,1
74,Part1,near_displaced,staircase,2.2,0.3,1
75,Part1,far_displaced,staircase,2.1,0.462,1
76,Part1,centred,staircase,2.2,0.3,0
77,Part1,centred,attention_check,0.2,0.99,1
78,Part1,near_displaced,staircase,2.1,0.462,0
79,Part1,near_displaced,staircase,2.2,0.3,1
80,Part1,far_displaced,staircase,2.2,0.3,0
81,Part1,far_displaced,staircase,2.2,0.3,0
82,Part1,far_displaced,staircase,2.2,0.3,1
83,Part1,near_displaced,staircase,2.0,0.625,0
84,Part1,near_displaced,staircase,2.2,0.3,1
85,Part1,far_displaced,staircase,2.2,0.3,1
86,Part1,centred,staircase,2.1,0.462,1
87,Part1,centred,staircase,2.2,0.3,0
88,Part1,far_displaced,attention_check,0.2,0.99,1
89,Part1,centred,staircase,2.2,0.3,1
90,Part1,near_displaced,staircase,2.2,0.3,0
91,Part1,centred,staircase,2.1,0.463,1
92,Part1,near_displaced,staircase,2.2,0.3,0
93,Part1,near_displaced,staircase,2.2,0.3,0
94,Part1,centred,staircase,2.2,0.3,1
95,Part1,far_displaced,staircase,2.2,0.3,1
96,Part1,near_displaced,staircase,2.0,0.625,1
97,Part1,far_displaced,staircase,2.2,0.3,0
98,Part1,centred,staircase,2.2,0.3,1
99,Part1,far_displaced,attention_check,0.2,0.99,1
100,Part1,near_displaced,staircase,2.2,0.3,0
101,Part1,far_displaced,staircase,2.2,0.3,1
102,Part1,centred,staircase,2.2,0.3,0
103,Part1,centred,staircase,2.2,0.3,0
104,Part1,near_displaced,staircase,1.9,0.787,1
105,Part1,far_displaced,staircase,2.2,0.3,1
106,Part1,far_displaced,staircase,2.2,0.3,0
107,Part1,near_displaced,staircase,2.2,0.3,1
108,Part1,far_displaced,staircase,2.2,0.3,0
109,Part1,near_displaced,staircase,2.2,0.3,0
110,Part1,near_displaced,attention_check,0.2,0.99,1
111,Part1,far_displaced,staircase,2.2,0.3,0
112,Part1,centred,staircase,2.2,0.3,1
113,Part1,far_displaced,staircase,2.2,0.3,0
114,Part1,near_displaced,staircase,2.1,0.462,1
115,Part1,centred,staircase,2.2,0.3,0
116,Part1,near_displaced,staircase,2.1,0.462,1
117,Part1,near_displaced,staircase,2.2,0.3,0
118,Part1,far_displaced,staircase,2.2,0.3,1
119,Part1,near_displaced,staircase,2.2,0.3,1
120,Part1,near_displaced,staircase,2.0,0.625,1
121,Part1,near_displaced,attention_check,0.2,0.99,1
122,Part1,near_displaced,staircase,2.2,0.3,0
123,Part1,near_displaced,staircase,2.1,0.462,1
124,Part1,far_displaced,staircase,2.2,0.3,0
125,Part1,near_displaced,staircase,2.2,0.3,1
126,Part1,far_displaced,staircase,2.2,0.3,0
127,Part1,centred,staircase,2.2,0.3,0
128,Part1,far_displaced,staircase,2.1,0.462,0
129,Part1,centred,staircase,2.2,0.3,1
130,Part1,near_displaced,staircase,2.2,0.3,0
131,Part1,centred,staircase,2.2,0.3,1
132,Part1,near_displaced,attention_check,0.2,0.99,1
133,Part1,near_displaced,staircase,2.2,0.3,1
134,Part1,near_displaced,staircase,2.2,0.3,0
135,Part1,far_displaced,staircase,2.2,0.3,1
136,Part1,centred,staircase,2.2,0.3,0
137,Part1,far_displaced,staircase,2.2,0.3,0
138,Part1,far_displaced,staircase,2.1,0.462,1
139,Part1,near_displaced,staircase,2.2,0.3,0
140,Part1,centred,staircase,2.2,0.3,1
141,Part1,near_displaced,staircase,2.2,0.3,0
142,Part1,near_displaced,staircase,2.2,0.3,1
143,Part1,far_displaced,attention_check,0.2,0.99,1
144,Part1,near_displaced,staircase,2.2,0.3,1
145,Part1,near_displaced,staircase,2.2,0.3,1
146,Part1,near_displaced,staircase,2.2,0.3,1
147,Part1,centred,staircase,2.2,0.3,0
148,Part1,far_displaced,staircase,2.2,0.3,0
149,Part1,far_displaced,staircase,2.2,0.3,0
150,Part1,near_displaced,staircase,2.2,0.3,0
151,Part1,near_displaced,staircase,2.2,0.3,0
152,Part1,near_displaced,staircase,2.2,0.3,1
153,Part1,near_displaced,staircase,2.2,0.3,0
154,Part1,centred,attention_check,0.2,0.99,1
155,Part1,far_displaced,staircase,2.2,0.3,0
156,Part1,far_displaced,staircase,2.2,0.3,0
157,Part1,near_displaced,staircase,2.2,0.3,0
158,Part1,near_displaced,staircase,2.2,0.3,0
159,Part1,far_displaced,staircase,2.2,0.3,0
160,Part1,near_displaced,staircase,2.2,0.3,0
161,Part1,far_displaced,staircase,2.1,0.462,0
162,Part1,centred,staircase,2.2,0.3,1
163,Part1,centred,staircase,2.2,0.3,1
164,Part1,near_displaced,staircase,2.2,0.3,1
165,Part1,near_displaced,attention_check,0.2,0.99,1
166,Part1,near_displaced,staircase,2.2,0.3,1
167,Part1,far_displaced,staircase,2.2,0.3,0
168,Part1,far_displaced,staircase,2.2,0.3,0
169,Part1,near_displaced,staircase,2.2,0.3,0
170,Part1,near_displaced,staircase,2.2,0.3,0
171,Part1,far_displaced,staircase,2.2,0.3,0
172,Part1,near_displaced,staircase,2.2,0.3,0
173,Part1,far_displaced,staircase,2.2,0.3,1
174,Part1,far_displaced,staircase,2.1,0.462,1
175,Part1,far_displaced,staircase,2.1,0.462,1
176,Part1,far_displaced,attention_check,0.2,0.99,1
177,Part1,near_displaced,staircase,2.2,0.3,1
178,Part1,far_displaced,staircase,2.15,0.381,0
179,Part1,far_displaced,staircase,2.2,0.3,0
180,Part1,centred,staircase,2.2,0.3,1
181,Part1,far_displaced,staircase,2.2,0.3,1
182,Part1,near_displaced,staircase,2.1,0.462,0
183,Part1,centred,staircase,2.2,0.3,0
184,Part1,far_displaced,staircase,2.2,0.3,0
185,Part1,far_displaced,staircase,2.15,0.381,0
186,Part1,far_displaced,staircase,2.2,0.3,0
187,Part1,far_displaced,attention_check,0.2,0.99,1
188,Part1,far_displaced,staircase,2.15,0.381,1
189,Part1,centred,staircase,2.2,0.3,1
190,Part1,centred,staircase,2.2,0.3,0
191,Part1,near_displaced,staircase,2.1,0.462,1
192,Part1,far_displaced,staircase,2.2,0.3,0
193,Part1,centred,staircase,2.2,0.3,1
194,Part1,far_displaced,staircase,2.2,0.3,0
195,Part1,near_displaced,staircase,2.2,0.3,0
196,Part1,far_displaced,staircase,2.2,0.3,0
197,Part1,near_displaced,staircase,2.1,0.462,0
198,Part1,near_displaced,attention_check,0.2,0.99,1
199,Part1,far_displaced,staircase,2.2,0.3,0
200,Part1,near_displaced,staircase,2.2,0.3,0
201,Part1,far_displaced,staircase,2.2,0.3,1
202,Part1,far_displaced,staircase,2.2,0.3,0
203,Part1,far_displaced,staircase,2.15,0.381,0
204,Part1,near_displaced,staircase,2.1,0.462,0
205,Part1,near_displaced,staircase,2.2,0.3,0
206,Part1,centred,staircase,2.2,0.3,1
207,Part1,far_displaced,staircase,2.0,0.625,0
208,Part1,near_displaced,staircase,2.0,0.625,1
209,Part1,far_displaced,attention_check,0.2,0.99,1
210,Part1,centred,staircase,2.2,0.3,0
211,Part1,near_displaced,staircase,2.2,0.3,0
212,Part1,far_displaced,staircase,2.15,0.381,0
213,Part1,near_displaced,staircase,2.15,0.381,1
214,Part1,centred,staircase,2.2,0.3,1
215,Part1,centred,staircase,2.2,0.3,0
216,Part1,centred,staircase,2.2,0.3,1
217,Part1,centred,staircase,2.2,0.3,0
218,Part1,far_displaced,staircase,2.2,0.3,0
219,Part1,near_displaced,staircase,2.2,0.3,0
220,Part1,far_displaced,attention_check,0.2,0.99,1
221,Part1,near_displaced,staircase,2.1,0.462,1
222,Part1,near_displaced,staircase,2.1,0.462,0
223,Part1,near_displaced,staircase,2.2,0.3,0
224,Part1,near_displaced,staircase,2.2,0.3,1
225,Part1,near_displaced,staircase,2.1,0.462,1
226,Part1,far_displaced,staircase,2.0,0.625,1
227,Part1,near_displaced,staircase,2.2,0.3,1
228,Part1,near_displaced,staircase,2.2,0.3,0
229,Part1,far_displaced,staircase,2.2,0.3,0
230,Part1,centred,staircase,2.2,0.3,1
231,Part1,near_displaced,attention_check,0.2,0.99,1
232,Part1,near_displaced,staircase,2.2,0.3,0
233,Part1,near_displaced,staircase,2.2,0.3,0
234,Part1,centred,staircase,2.1,0.462,1
235,Part1,far_displaced,staircase,2.2,0.3,0
236,Part1,far_displaced,staircase,2.15,0.381,1
237,Part1,far_displaced,staircase,2.1,0.462,0
238,Part1,centred,staircase,2.2,0.3,0
239,Part1,far_displaced,staircase,2.2,0.3,0
240,Part1,near_displaced,staircase,2.2,0.3,1
241,Part1,far_displaced,staircase,2.1,0.462,1
242,Part1,near_displaced,attention_check,0.2,0.99,1
243,Part1,near_displaced,staircase,2.2,0.3,1
244,Part1,far_displaced,staircase,2.2,0.3,0
245,Part1,far_displaced,staircase,2.2,0.3,0
246,Part1,centred,staircase,2.2,0.3,1
247,Part1,far_displaced,staircase,2.2,0.3,0
248,Part1,centred,staircase,2.2,0.3,0
249,Part1,centred,staircase,2.2,0.3,0
250,Part1,near_displaced,staircase,2.2,0.3,0
251,Part1,far_displaced,staircase,2.2,0.3,1
252,Part1,near_displaced,staircase,2.2,0.3,0
253,Part1,centred,attention_check,0.2,0.99,1
254,Part1,centred,staircase,2.2,0.3,0
255,Part1,far_displaced,staircase,2.2,0.3,0
256,Part1,far_displaced,staircase,2.2,0.3,0
257,Part1,near_displaced,staircase,2.2,0.3,0
258,Part1,far_displaced,staircase,2.15,0.381,1
259,Part1,far_displaced,staircase,2.2,0.3,0
260,Part1,far_displaced,staircase,2.2,0.3,0
261,Part1,near_displaced,staircase,2.2,0.3,0
262,Part1,far_displaced,staircase,2.2,0.3,0
263,Part1,far_displaced,staircase,2.15,0.381,0
264,Part1,near_displaced,attention_check,0.2,0.99,1
265,Part1,near_displaced,staircase,2.2,0.3,1
266,Part1,far_displaced,staircase,2.2,0.3,0
267,Part1,far_displaced,staircase,2.2,0.3,0
268,Part1,near_displaced,staircase,2.2,0.3,0
269,Part1,far_displaced,staircase,2.1,0.462,1
270,Part1,far_displaced,staircase,2.2,0.3,0
271,Part1,near_displaced,staircase,2.2,0.3,0
272,Part1,near_displaced,staircase,2.15,0.381,0
273,Part1,far_displaced,staircase,2.15,0.381,0
274,Part1,far_displaced,staircase,2.2,0.3,0
275,Part1,far_displaced,attention_check,0.2,0.99,1
276,Part2,diamond,staircase,0.7,0.95,1
277,Part2,ellipse,staircase,0.7,0.95,1
278,Part2,sine_circle,staircase,0.7,0.95,1
279,Part2,diamond,staircase,1.8,0.95,1
280,Part2,sine_circle,staircase,1.8,0.95,1
281,Part2,ellipse,staircase,1.8,0.95,1
282,Part2,ellipse,staircase,1.0,0.95,1
283,Part2,diamond,staircase,1.0,0.95,1
284,Part2,ellipse,staircase,2.1,0.463,0
285,Part2,diamond,staircase,2.1,0.463,1
286,Part2,sine_circle,staircase,1.0,0.95,1
287,Part2,sine_circle,attention_check,0.2,0.99,1
288,Part2,diamond,staircase,1.3,0.95,1
289,Part2,diamond,staircase,2.2,0.3,0
290,Part2,ellipse,staircase,1.3,0.95,1
291,Part2,diamond,staircase,1.6,0.95,1
292,Part2,diamond,staircase,1.9,0.787,1
293,Part2,diamond,staircase,1.9,0.787,1
294,Part2,sine_circle,staircase,2.1,0.463,0
295,Part2,diamond,staircase,2.1,0.462,0
296,Part2,ellipse,staircase,1.8,0.95,1
297,Part2,diamond,attention_check,0.2,0.99,1
298,Part2,diamond,staircase,2.2,0.3,1
299,Part2,sine_circle,staircase,1.3,0.95,1
300,Part2,sine_circle,staircase,1.8,0.95,1
301,Part2,sine_circle,staircase,1.6,0.95,1
302,Part2,diamond,staircase,2.1,0.462,1
303,Part2,sine_circle,staircase,2.0,0.625,0
304,Part2,diamond,staircase,2.2,0.3,1
305,Part2,diamond,staircase,2.2,0.3,0
306,Part2,sine_circle,staircase,1.9,0.787,1
307,Part2,ellipse,staircase,1.6,0.95,1
308,Part2,ellipse,attention_check,0.2,0.99,1
309,Part2,diamond,staircase,2.2,0.3,1
310,Part2,sine_circle,staircase,2.0,0.625,0
311,Part2,ellipse,staircase,2.0,0.625,1
312,Part2,ellipse,staircase,1.9,0.787,0
313,Part2,diamond,staircase,2.2,0.3,0
314,Part2,ellipse,staircase,2.2,0.3,1
315,Part2,sine_circle,staircase,2.2,0.3,1
316,Part2,diamond,staircase,2.2,0.3,0
317,Part2,diamond,staircase,2.2,0.3,0
318,Part2,ellipse,staircase,1.6,0.95,1
319,Part2,diamond,attention_check,0.2,0.99,1
320,Part2,ellipse,staircase,2.2,0.3,0
321,Part2,ellipse,staircase,1.8,0.95,1
322,Part2,ellipse,staircase,2.2,0.3,0
323,Part2,diamond,staircase,1.9,0.787,1
324,Part2,diamond,staircase,2.1,0.462,1
325,Part2,ellipse,staircase,2.0,0.625,0
326,Part2,ellipse,staircase,2.2,0.3,0
327,Part2,sine_circle,staircase,2.0,0.625,0
328,Part2,diamond,staircase,2.1,0.462,1
329,Part2,ellipse,staircase,2.0,0.625,1
330,Part2,ellipse,attention_check,0.2,0.99,1
331,Part2,diamond,staircase,2.2,0.3,0
332,Part2,diamond,staircase,2.2,0.3,1
333,Part2,diamond,staircase,2.2,0.3,1
334,Part2,ellipse,staircase,2.1,0.462,1
335,Part2,diamond,staircase,2.2,0.3,0
336,Part2,diamond,staircase,2.2,0.3,0
337,Part2,sine_circle,staircase,2.2,0.3,1
338,Part2,ellipse,staircase,2.2,0.3,0
339,Part2,diamond,staircase,2.2,0.3,0
340,Part2,diamond,staircase,2.2,0.3,0
341,Part2,sine_circle,attention_check,0.2,0.99,1
342,Part2,sine_circle,staircase,1.9,0.788,1
343,Part2,diamond,staircase,2.2,0.3,1
344,Part2,sine_circle,staircase,2.2,0.3,1
345,Part2,sine_circle,staircase,2.0,0.625,1
346,Part2,ellipse,staircase,2.2,0.3,1
347,Part2,ellipse,staircase,2.2,0.3,1
348,Part2,sine_circle,staircase,2.2,0.3,1
349,Part2,ellipse,staircase,2.2,0.3,0
350,Part2,sine_circle,staircase,2.1,0.463,0
351,Part2,ellipse,staircase,2.2,0.3,1
352,Part2,sine_circle,attention_check,0.2,0.99,1
353,Part2,diamond,staircase,2.2,0.3,1
354,Part2,ellipse,staircase,2.2,0.3,0
355,Part2,sine_circle,staircase,2.2,0.3,1
356,Part2,ellipse,staircase,2.2,0.3,0
357,Part2,diamond,staircase,2.2,0.3,0
358,Part2,ellipse,staircase,2.2,0.3,0
359,Part2,diamond,staircase,2.2,0.3,1
360,Part2,ellipse,staircase,2.2,0.3,1
361,Part2,ellipse,staircase,2.15,0.381,1
362,Part2,ellipse,staircase,2.2,0.3,1
363,Part2,diamond,attention_check,0.2,0.99,1
364,Part2,sine_circle,staircase,2.1,0.463,0
365,Part2,diamond,staircase,2.2,0.3,0
366,Part2,sine_circle,staircase,2.2,0.3,0
367,Part2,sine_circle,staircase,2.1,0.463,0
368,Part2,ellipse,staircase,2.2,0.3,0
369,Part2,diamond,staircase,2.2,0.3,0
370,Part2,sine_circle,staircase,1.9,0.787,1
371,Part2,sine_circle,staircase,2.05,0.544,0
372,Part2,diamond,staircase,2.2,0.3,1
373,Part2,sine_circle,staircase,2.1,0.462,1
374,Part2,diamond,attention_check,0.2,0.99,1
375,Part2,diamond,staircase,2.2,0.3,1
376,Part2,sine_circle,staircase,2.05,0.544,1
377,Part2,sine_circle,staircase,2.2,0.3,1
378,Part2,sine_circle,staircase,2.1,0.463,0
379,Part2,ellipse,staircase,2.2,0.3,0
380,Part2,diamond,staircase,2.2,0.3,1
381,Part2,diamond,staircase,2.2,0.3,0
382,Part2,diamond,staircase,2.2,0.3,0
383,Part2,ellipse,staircase,2.2,0.3,1
384,Part2,ellipse,staircase,2.2,0.3,0
385,Part2,sine_circle,attention_check,0.2,0.99,1
386,Part2,sine_circle,staircase,2.2,0.3,0
387,Part2,sine_circle,staircase,2.1,0.463,1
388,Part2,ellipse,staircase,2.2,0.3,1
389,Part2,ellipse,staircase,2.2,0.3,0
390,Part2,diamond,staircase,2.2,0.3,0
391,Part2,ellipse,staircase,2.2,0.3,0
392,Part2,diamond,staircase,2.2,0.3,1
393,Part2,ellipse,staircase,2.1,0.462,0
394,Part2,ellipse,staircase,2.2,0.3,0
395,Part2,ellipse,staircase,2.1,0.462,0
396,Part2,diamond,attention_check,0.2,0.99,1
397,Part2,sine_circle,staircase,2.2,0.3,0
398,Part2,diamond,staircase,2.2,0.3,0
399,Part2,sine_circle,staircase,2.15,0.381,1
400,Part2,sine_circle,staircase,2.2,0.3,0
401,Part2,ellipse,staircase,2.2,0.3,0
402,Part2,ellipse,staircase,2.1,0.462,0
403,Part2,diamond,staircase,2.2,0.3,1
404,Part2,ellipse,staircase,2.15,0.381,0
405,Part2,sine_circle,staircase,2.2,0.3,0
406,Part2,diamond,staircase,2.15,0.381,0
407,Part2,ellipse,attention_check,0.2,0.99,1
408,Part2,ellipse,staircase,2.0,0.625,1
409,Part2,sine_circle,staircase,2.1,0.462,0
410,Part2,sine_circle,staircase,2.2,0.3,0
411,Part2,diamond,staircase,2.2,0.3,0
412,Part2,ellipse,staircase,2.15,0.381,1
413,Part2,sine_circle,staircase,2.1,0.462,1
414,Part2,diamond,staircase,2.15,0.381,1
415,Part2,diamond,staircase,2.2,0.3,1
416,Part2,diamond,staircase,2.2,0.3,0
417,Part2,sine_circle,staircase,2.2,0.3,1
418,Part2,sine_circle,attention_check,0.2,0.99,1
419,Part2,ellipse,staircase,2.1,0.462,0
420,Part2,diamond,staircase,2.2,0.3,0
421,Part2,diamond,staircase,2.2,0.3,0
422,Part2,sine_circle,staircase,2.2,0.3,0
423,Part2,sine_circle,staircase,2.2,0.3,0
424,Part2,ellipse,staircase,2.2,0.3,0
425,Part2,sine_circle,staircase,2.2,0.3,0
426,Part2,sine_circle,staircase,2.2,0.3,0
427,Part2,ellipse,staircase,2.1,0.462,1
428,Part2,ellipse,staircase,2.2,0.3,0
429,Part2,ellipse,attention_check,0.2,0.99,1
430,Part2,sine_circle,staircase,2.2,0.3,1
431,Part2,sine_circle,staircase,2.2,0.3,0
432,Part2,ellipse,staircase,2.2,0.3,0
433,Part2,ellipse,staircase,2.2,0.3,0
434,Part2,sine_circle,staircase,2.2,0.3,1
435,Part2,sine_circle,staircase,2.15,0.381,0
436,Part2,sine_circle,staircase,2.2,0.3,0
437,Part2,sine_circle,staircase,2.15,0.381,0
438,Part2,sine_circle,staircase,2.2,0.3,0
439,Part2,sine_circle,staircase,2.15,0.381,0
440,Part2,ellipse,attention_check,0.2,0.99,1
